image_index,area,box,color,size,material,label
811,2848,90-69-58-62,gray,large,rubber,cube
798,932,21-48-34-32,green,small,metal,sphere
798,591,99-30-26-27,green,small,metal,sphere
798,362,146-95-20-21,blue,small,rubber,sphere
798,1231,157-62-39-38,cyan,small,metal,sphere
798,366,127-53-20-20,blue,small,metal,cube
241,929,75-25-29-35,purple,small,rubber,cube
241,451,87-115-22-23,gray,small,rubber,sphere
241,925,147-48-33-33,red,small,rubber,sphere
241,1029,115-16-34-35,green,small,rubber,cube
241,1584,134-84-44-44,red,large,rubber,sphere
241,606,175-83-28-28,yellow,small,rubber,cube
241,1610,44-47-39-47,green,large,rubber,cylinder
918,367,133-59-21-20,cyan,small,rubber,cube
918,1694,83-92-45-46,gray,large,rubber,sphere
996,898,36-48-33-33,purple,small,rubber,sphere
996,473,89-27-25-26,brown,small,metal,sphere
996,1502,105-36-42-43,green,large,rubber,cube
996,2353,129-73-46-58,gray,large,rubber,cylinder
996,1651,70-49-37-51,gray,large,rubber,cylinder
567,959,47-49-34-34,gray,small,metal,sphere
621,342,174-84-20-20,cyan,small,metal,sphere
621,1514,92-45-35-45,green,large,rubber,cube
11,2835,114-82-51-61,red,large,rubber,cylinder
11,1721,47-58-40-49,brown,large,rubber,cylinder
11,438,193-73-21-24,red,small,metal,cube
89,818,98-24-26-33,cyan,small,rubber,cube
89,416,138-80-18-24,brown,small,rubber,cube
89,1955,170-53-51-48,green,large,rubber,cube
460,991,21-47-35-33,cyan,small,rubber,sphere
460,1184,75-21-37-37,cyan,small,rubber,cube
460,772,84-111-25-34,brown,small,rubber,cylinder
460,368,130-48-20-20,cyan,small,rubber,sphere
460,608,149-77-27-28,gray,small,rubber,sphere
460,1786,190-49-44-48,blue,large,rubber,sphere
864,355,104-93-20-20,green,small,metal,sphere
864,516,177-82-22-26,cyan,small,rubber,cylinder
864,1085,14-55-37-35,red,small,rubber,sphere
712,992,19-53-36-33,cyan,small,metal,sphere
712,445,99-115-22-23,yellow,small,rubber,sphere
712,763,124-102-29-32,brown,small,rubber,cube
712,1289,53-69-40-39,purple,small,metal,sphere
712,446,179-72-22-24,green,small,rubber,cube
712,545,110-23-27-31,gray,small,rubber,cube
712,1142,125-31-33-37,yellow,small,rubber,cube
32,998,87-25-29-36,brown,small,rubber,cylinder
32,1030,25-49-36-35,yellow,small,rubber,sphere
32,496,48-78-21-26,gray,small,rubber,cube
32,779,95-100-26-32,green,small,rubber,cube
32,475,167-74-21-25,purple,small,rubber,cube
32,599,128-90-22-29,green,small,metal,sphere
369,404,33-64-22-20,cyan,small,rubber,cube
369,1443,127-85-42-42,gray,large,rubber,sphere
369,354,163-82-18-24,blue,small,rubber,cube
369,1929,79-68-40-52,green,large,rubber,cylinder
327,865,18-52-34-33,purple,small,rubber,sphere
327,473,99-25-25-30,blue,small,metal,cube
327,516,139-91-21-26,purple,small,rubber,cube
327,1961,174-52-50-49,brown,large,rubber,cube
327,628,109-36-27-27,red,small,metal,sphere
327,2557,43-51-53-65,green,large,rubber,cube
962,662,98-35-28-29,red,small,metal,sphere
962,1019,46-42-34-38,brown,small,rubber,cube
962,493,166-83-22-26,brown,small,rubber,cube
962,2723,50-68-57-60,cyan,large,rubber,cube
962,1719,137-46-45-45,yellow,large,rubber,cube
570,1087,103-29-30-38,gray,small,rubber,cube
570,1354,40-66-41-40,red,large,rubber,sphere
652,1597,86-36-42-44,green,large,metal,cube
652,1329,166-68-40-39,green,large,rubber,sphere
902,1148,57-38-32-39,gray,small,rubber,cube
902,870,185-48-33-32,cyan,small,metal,sphere
902,1371,97-75-40-41,gray,large,metal,sphere
346,340,90-55-20-20,yellow,small,rubber,cube
346,659,97-107-24-30,gray,small,rubber,cube
346,628,134-31-28-35,red,small,rubber,cube
346,1099,147-43-33-40,purple,small,rubber,cylinder
346,372,169-75-18-22,green,small,metal,cube
346,1034,117-66-35-36,brown,small,metal,sphere
992,1076,74-30-31-37,green,small,rubber,cube
992,906,165-47-34-33,cyan,small,metal,sphere
628,586,60-96-23-28,brown,small,rubber,cylinder
628,1378,140-33-36-39,green,large,rubber,cube
628,2757,115-82-48-64,red,large,rubber,cylinder
628,514,185-76-24-26,purple,small,rubber,cube
628,1945,84-48-49-52,cyan,large,rubber,sphere
628,1478,197-44-41-45,red,large,rubber,cylinder
965,614,97-24-26-27,blue,small,rubber,sphere
965,725,72-94-27-31,purple,small,rubber,cube
965,1467,150-41-37-45,blue,large,rubber,cylinder
965,545,134-29-28-28,brown,small,rubber,sphere
965,2245,43-52-54-54,cyan,large,rubber,cube
24,800,90-115-25-32,brown,small,rubber,cube
24,777,154-46-33-34,gray,small,rubber,sphere
24,2011,8-48-52-48,blue,large,rubber,cube
24,925,108-27-27-34,purple,small,rubber,cube
24,2476,114-60-54-58,gray,large,rubber,cube
875,971,10-48-35-33,yellow,small,rubber,sphere
875,2843,63-74-55-64,gray,large,rubber,sphere
875,510,124-88-20-27,cyan,small,rubber,cube
113,1801,120-59-39-50,gray,large,rubber,cylinder
113,1291,94-34-39-40,cyan,small,rubber,cube
204,765,72-45-30-30,green,small,rubber,sphere
204,882,165-51-33-32,cyan,small,rubber,sphere
204,2208,129-76-44-57,red,large,rubber,cylinder
204,371,40-70-18-22,yellow,small,rubber,cube
250,1076,123-32-30-38,purple,small,rubber,cylinder
250,404,179-61-23-23,red,small,rubber,cube
250,522,159-74-24-26,yellow,small,rubber,cube
250,1169,54-64-37-37,purple,small,metal,sphere
755,994,16-53-35-33,purple,small,metal,sphere
755,357,77-53-20-20,brown,small,rubber,cube
755,374,79-105-21-21,brown,small,rubber,sphere
755,870,150-32-29-36,yellow,small,rubber,cube
755,806,126-48-32-32,red,small,metal,sphere
755,1706,183-52-50-47,brown,large,rubber,cube
755,2649,142-67-57-60,yellow,large,rubber,cube
755,512,110-22-25-25,green,small,metal,sphere
941,613,139-32-27-29,cyan,small,metal,sphere
941,1716,128-82-45-46,cyan,large,rubber,sphere
941,1898,171-56-44-50,red,large,rubber,cylinder
941,2037,40-48-50-48,green,large,rubber,sphere
941,796,113-41-30-31,blue,small,rubber,sphere
731,1142,38-36-34-38,brown,small,rubber,cylinder
731,694,73-46-30-32,blue,small,metal,sphere
731,490,56-86-20-26,blue,small,rubber,cube
731,2545,107-79-46-61,yellow,large,rubber,cylinder
731,1547,148-48-37-46,gray,large,rubber,cube
731,1110,94-58-37-48,blue,small,rubber,cube
361,826,28-45-32-31,red,small,rubber,sphere
361,587,131-88-25-28,purple,small,rubber,cube
361,1589,87-54-36-47,yellow,large,rubber,cylinder
361,463,58-69-23-23,green,small,rubber,cube
361,864,28-45-47-45,red,small,rubber,sphere
177,1319,54-31-37-39,brown,large,rubber,cube
177,1465,60-74-42-42,gray,large,metal,sphere
177,665,126-104-25-30,gray,small,rubber,cylinder
550,1367,67-36-40-41,blue,large,rubber,cube
550,389,28-60-22-22,yellow,small,rubber,cube
550,277,89-28-24-26,purple,small,rubber,sphere
550,2330,133-76-45-58,blue,large,rubber,sphere
550,1217,92-68-37-39,gray,small,rubber,sphere
191,300,81-85-15-27,green,small,rubber,cube
191,411,203-64-21-20,green,small,metal,cube
191,705,161-40-29-29,purple,small,rubber,sphere
191,492,117-29-25-25,gray,small,metal,sphere
191,496,166-80-22-26,brown,small,rubber,cube
191,2632,92-79-48-62,purple,large,rubber,cylinder
790,953,63-32-29-35,red,small,rubber,cylinder
790,1477,97-89-43-43,purple,large,metal,sphere
629,492,85-87-20-26,purple,small,metal,cube
629,660,101-111-22-31,blue,small,rubber,sphere
629,960,199-49-35-34,yellow,small,rubber,sphere
629,582,116-96-26-30,blue,small,rubber,cube
629,1165,145-54-36-41,red,small,rubber,sphere
882,1417,5-42-39-42,brown,large,metal,cylinder
882,387,53-55-21-21,cyan,small,rubber,cube
882,504,76-32-28-28,red,small,rubber,sphere
882,658,69-102-24-30,yellow,small,rubber,cylinder
882,1178,164-35-33-39,yellow,small,rubber,cube
882,444,153-77-19-24,red,small,rubber,cube
882,1302,96-68-40-40,yellow,large,rubber,sphere
882,537,186-71-27-25,blue,small,rubber,cube
882,918,90-46-34-42,red,small,rubber,sphere
271,1066,145-32-31-38,gray,small,rubber,cylinder
271,1041,110-20-34-35,yellow,small,rubber,cube
271,1064,58-60-36-36,red,small,metal,sphere
271,644,84-103-23-28,blue,small,rubber,cube
857,1372,55-41-42-39,gray,large,rubber,cube
857,2405,59-74-46-59,red,large,rubber,sphere
857,418,157-41-29-32,purple,small,rubber,cube
857,497,157-87-22-25,gray,small,rubber,cube
857,1821,129-49-47-48,cyan,large,rubber,cube
732,903,64-50-33-33,purple,small,rubber,sphere
732,862,85-28-28-32,red,small,rubber,sphere
732,1100,146-38-33-38,purple,small,rubber,cube
732,660,96-106-23-31,green,small,rubber,cube
732,1642,172-52-40-46,purple,large,rubber,cube
185,1003,79-25-29-36,red,small,rubber,cube
185,628,43-35-31-30,purple,small,rubber,cube
185,3153,70-94-53-65,green,large,rubber,sphere
185,1680,155-37-46-46,red,large,rubber,sphere
185,617,131-82-27-28,brown,small,rubber,cube
185,1065,52-55-36-35,green,small,metal,sphere
769,1447,21-35-41-43,blue,large,rubber,cube
769,696,66-33-29-29,red,small,rubber,sphere
769,1745,169-50-42-48,brown,large,rubber,cylinder
769,918,109-24-28-34,green,small,rubber,cube
979,776,94-26-25-31,red,small,rubber,cube
979,1468,25-38-44-40,green,large,rubber,cube
979,480,50-76-22-22,purple,small,rubber,cube
979,902,185-50-33-32,green,small,rubber,sphere
979,3041,113-77-56-62,green,large,rubber,cube
979,457,73-69-22-23,red,small,rubber,cube
997,889,62-29-39-34,red,small,rubber,cylinder
997,803,161-42-31-31,red,small,metal,sphere
997,515,165-87-21-26,yellow,small,rubber,cube
997,1361,76-50-36-42,green,large,rubber,cube
997,3702,67-88-62-71,yellow,large,metal,cube
997,1147,120-65-37-38,cyan,small,metal,sphere
435,1253,25-39-36-40,brown,small,rubber,cylinder
435,1083,159-34-32-37,green,small,rubber,cube
435,3396,71-74-63-69,purple,large,rubber,cube
435,452,56-68-24-25,gray,small,rubber,cube
305,1329,125-34-40-39,brown,large,rubber,cube
305,941,188-51-34-33,gray,small,metal,sphere
305,1408,114-76-41-41,yellow,large,metal,sphere
305,1931,22-48-50-48,blue,large,rubber,cube
305,331,103-73-17-23,brown,small,rubber,cube
15,713,87-38-29-29,red,small,metal,sphere
15,646,61-94-27-29,yellow,small,rubber,cube
15,929,123-25-29-35,red,small,rubber,cylinder
15,1033,46-59-36-35,gray,small,rubber,sphere
4,1462,8-39-39-43,green,large,rubber,cube
4,1927,175-51-44-51,gray,large,rubber,cylinder
4,836,149-36-31-32,gray,small,metal,sphere
4,1630,46-68-43-45,brown,large,rubber,sphere
231,588,178-42-35-24,cyan,small,rubber,cube
231,561,131-38-31-38,cyan,small,rubber,cube
231,1585,121-53-36-48,brown,large,rubber,cylinder
231,995,101-23-35-35,purple,small,rubber,cube
231,1795,167-58-42-50,red,large,rubber,cylinder
469,845,132-27-27-32,green,small,rubber,cube
469,387,175-61-22-21,gray,small,rubber,cube
469,483,129-95-21-29,green,small,rubber,sphere
469,1972,86-94-48-50,purple,large,metal,sphere
469,404,94-71-18-23,cyan,small,rubber,cube
469,1598,24-46-42-46,green,large,rubber,cube
816,390,76-63-20-21,green,small,rubber,cube
816,1281,44-38-35-40,cyan,small,rubber,cube
816,505,119-23-22-26,yellow,small,rubber,sphere
816,943,141-27-29-36,red,small,rubber,cylinder
816,1049,176-62-36-36,cyan,small,metal,sphere
816,2095,137-72-43-55,green,large,rubber,sphere
816,2569,83-85-46-62,purple,large,rubber,cylinder
55,1337,36-38-36-42,green,large,metal,cube
55,497,65-74-23-26,cyan,small,rubber,cube
55,1057,122-31-30-37,green,small,rubber,cube
851,1198,52-40-33-40,cyan,small,rubber,cylinder
851,391,122-73-17-23,yellow,small,rubber,cube
851,376,186-67-19-22,yellow,small,rubber,cube
461,572,101-31-25-26,brown,small,rubber,sphere
461,446,86-89-19-24,purple,small,metal,cube
461,2110,109-76-42-55,green,large,rubber,sphere
461,1659,145-48-43-44,purple,large,rubber,cube
461,466,36-72-24-23,cyan,small,rubber,cube
694,370,30-55-21-20,cyan,small,metal,cube
694,526,73-86-25-27,purple,small,rubber,cube
694,1056,142-32-31-38,red,small,rubber,cylinder
694,1448,94-84-42-42,red,large,rubber,sphere
409,991,71-52-35-34,blue,small,metal,sphere
409,884,78-117-31-35,yellow,small,rubber,cube
409,670,115-27-28-29,red,small,metal,sphere
409,1812,126-57-39-51,brown,large,rubber,cylinder
631,616,98-31-27-27,brown,small,rubber,sphere
631,1102,43-58-36-37,blue,small,rubber,sphere
631,2095,156-64-45-53,yellow,large,rubber,cylinder
73,705,54-35-29-29,red,small,rubber,sphere
73,971,20-51-35-33,purple,small,rubber,sphere
73,1473,77-78-42-42,gray,large,rubber,sphere
73,484,140-83-20-26,green,small,rubber,cube
73,351,69-69-19-22,blue,small,rubber,cube
73,802,102-21-26-32,cyan,small,rubber,cube
27,1177,57-35-32-39,cyan,small,rubber,cube
27,1336,145-41-35-42,cyan,large,rubber,cylinder
27,645,140-99-23-30,purple,small,rubber,cube
27,1411,103-37-36-41,gray,large,rubber,sphere
509,419,31-57-22-22,red,small,metal,cube
509,529,86-83-20-27,red,small,rubber,cube
509,1044,172-49-36-35,cyan,small,rubber,sphere
509,420,63-69-19-23,cyan,small,rubber,cube
846,855,31-48-32-31,cyan,small,metal,sphere
846,854,72-35-29-35,purple,small,rubber,cube
846,724,69-96-28-30,purple,small,rubber,cube
846,1006,158-37-32-37,green,small,rubber,cube
846,530,165-84-22-25,purple,small,rubber,cube
846,1456,95-49-34-44,cyan,large,rubber,cube
846,649,112-24-25-29,green,small,metal,cube
846,1065,180-57-37-36,purple,small,metal,sphere
331,955,2-49-35-32,gray,small,metal,sphere
331,819,84-25-28-34,green,small,rubber,cube
331,299,59-38-29-14,cyan,small,rubber,cube
331,1297,160-36-36-41,gray,small,rubber,cube
331,597,153-92-22-27,purple,small,metal,cube
331,2910,104-88-48-65,blue,large,rubber,sphere
331,203,99-84-19-25,cyan,small,rubber,cube
331,1056,104-88-48-26,blue,small,rubber,sphere
506,772,89-45-30-31,purple,small,metal,sphere
506,711,51-41-29-28,purple,small,metal,sphere
506,579,68-97-21-28,green,small,rubber,cube
506,376,57-80-18-24,red,small,rubber,cube
506,1287,191-44-36-41,yellow,small,rubber,cube
506,943,146-31-29-34,brown,small,metal,cube
506,588,129-106-21-29,blue,small,rubber,cube
506,422,146-73-19-22,blue,small,metal,cube
495,1445,65-38-41-41,blue,large,rubber,sphere
495,408,25-62-22-20,yellow,small,rubber,cube
495,401,109-78-17-24,blue,small,rubber,sphere
495,1091,121-33-30-36,cyan,small,rubber,cube
495,1501,161-51-37-45,purple,large,rubber,cube
104,858,45-51-32-32,cyan,small,rubber,sphere
104,604,85-32-27-26,purple,small,metal,sphere
104,823,140-44-32-28,green,small,metal,cube
104,1580,97-93-43-45,brown,large,metal,sphere
104,402,163-69-19-22,cyan,small,rubber,cube
104,526,72-89-21-26,gray,small,rubber,cube
104,825,116-25-36-33,brown,small,rubber,cube
160,1124,61-32-31-39,red,small,rubber,cube
160,591,62-95-22-29,gray,small,rubber,cube
160,1188,146-28-41-39,green,small,rubber,cube
160,1839,176-45-46-44,cyan,large,rubber,cube
160,2159,105-64-42-56,yellow,large,rubber,cylinder
316,595,84-31-26-27,gray,small,metal,sphere
316,1431,122-40-41-42,red,large,rubber,cube
316,1450,160-51-36-45,brown,large,rubber,cylinder
575,525,44-78-26-25,brown,small,rubber,cube
575,544,98-95-20-26,yellow,small,rubber,cube
575,954,166-42-35-40,purple,small,rubber,cube
575,1109,127-47-35-44,purple,small,rubber,cube
575,2144,145-67-46-56,purple,large,rubber,cube
575,722,119-103-28-33,purple,small,metal,cube
502,572,94-22-26-26,cyan,small,rubber,sphere
502,741,146-26-38-37,gray,small,rubber,cube
502,1202,134-38-34-42,gray,small,rubber,cube
502,1234,116-67-38-39,red,small,rubber,sphere
502,461,57-72-19-24,gray,small,metal,cube
342,409,187-64-22-20,green,small,rubber,cube
342,952,114-60-33-34,red,small,rubber,sphere
342,1185,40-61-37-39,green,small,metal,sphere
916,989,81-40-38-43,gray,small,rubber,cube
916,376,159-95-20-21,yellow,small,rubber,sphere
916,1842,84-87-47-48,yellow,large,rubber,sphere
916,1139,113-22-38-37,yellow,small,rubber,cube
916,1691,63-56-41-52,cyan,large,rubber,cylinder
455,1297,57-27-40-38,brown,small,rubber,cube
455,351,14-61-19-21,purple,small,rubber,cube
455,674,86-115-23-31,green,small,rubber,sphere
455,1181,139-36-39-42,blue,small,rubber,cube
455,822,122-22-33-34,yellow,small,rubber,cube
455,557,121-99-21-28,yellow,small,rubber,sphere
455,2332,53-66-49-54,yellow,large,rubber,sphere
455,1732,162-56-41-48,cyan,large,rubber,cylinder
455,926,100-54-33-35,blue,small,rubber,sphere
521,819,22-45-32-31,gray,small,rubber,sphere
521,2747,111-70-56-62,cyan,large,rubber,cube
521,1137,75-68-35-38,cyan,small,metal,sphere
619,1624,62-84-44-44,yellow,large,rubber,sphere
619,382,54-74-24-22,brown,small,rubber,cube
619,1231,177-41-36-39,cyan,small,rubber,cylinder
619,607,139-45-33-39,green,small,rubber,cube
619,2041,122-59-44-52,red,large,rubber,cylinder
51,1097,152-33-32-37,purple,small,rubber,cube
51,1476,15-44-39-44,purple,large,rubber,cylinder
51,2054,88-64-41-54,brown,large,rubber,cylinder
51,676,112-19-25-30,cyan,small,rubber,cube
761,2307,61-63-51-56,cyan,large,rubber,cube
761,422,162-68-20-24,gray,small,rubber,cube
976,558,56-89-23-28,purple,small,rubber,cube
976,1179,95-28-37-37,gray,small,rubber,cube
810,844,89-23-26-34,purple,small,rubber,cube
810,792,56-43-31-30,blue,small,metal,sphere
810,1887,148-53-44-47,cyan,large,rubber,cube
810,1519,188-45-40-44,yellow,large,rubber,cube
66,499,88-88-19-26,red,small,rubber,cylinder
66,343,136-31-25-27,red,small,rubber,sphere
66,1212,119-40-32-40,green,small,rubber,cube
66,1897,38-48-49-47,yellow,large,rubber,cube
66,1810,155-58-41-50,purple,large,rubber,cylinder
66,1491,195-45-40-46,blue,large,rubber,cube
66,1552,174-45-61-46,blue,large,rubber,cube
513,716,57-92-29-31,blue,small,rubber,cube
498,414,160-62-22-22,brown,small,rubber,cube
498,476,131-74-23-24,green,small,rubber,sphere
498,1059,101-31-30-36,red,small,rubber,cube
422,993,91-34-28-36,brown,small,rubber,cube
422,1236,59-77-39-38,green,small,metal,sphere
422,978,31-63-36-35,green,small,rubber,sphere
19,1547,29-41-42-40,yellow,large,rubber,cube
19,1021,99-21-34-34,green,small,rubber,cube
19,2109,79-68-42-55,cyan,large,rubber,cylinder
473,1181,41-36-33-39,purple,small,rubber,cube
473,561,72-95-21-28,purple,small,rubber,cube
473,776,164-39-35-24,purple,small,metal,cube
473,2057,96-51-47-51,yellow,large,rubber,cube
473,2293,160-63-46-53,green,large,metal,cube
775,1087,34-37-36-42,green,small,rubber,cube
775,2332,75-75-44-58,purple,large,rubber,cylinder
775,846,136-44-31-32,green,small,rubber,sphere
775,1934,189-46-50-49,brown,large,rubber,sphere
775,1260,54-55-39-50,red,small,rubber,cylinder
775,2368,59-61-60-72,purple,large,rubber,cylinder
349,414,90-120-21-23,red,small,rubber,sphere
349,576,78-94-24-28,yellow,small,metal,cube
349,530,127-24-26-32,blue,small,rubber,cube
349,331,159-76-22-22,green,small,rubber,cube
349,567,148-88-26-27,gray,small,rubber,sphere
349,1236,111-39-33-39,purple,small,rubber,cube
260,415,68-62-20-21,blue,small,rubber,cube
260,412,29-57-23-22,purple,small,rubber,cube
260,466,46-79-20-25,red,small,rubber,cube
260,513,102-86-20-26,green,small,rubber,cube
260,1101,186-54-37-36,cyan,small,metal,sphere
388,1310,161-38-36-43,green,large,rubber,cube
388,2283,124-61-46-57,gray,large,rubber,cylinder
388,1357,111-24-40-39,brown,large,rubber,cube
388,2567,59-53-56-72,green,large,rubber,cylinder
522,1178,90-37-36-39,blue,small,rubber,cube
522,834,16-46-33-30,yellow,small,metal,sphere
522,654,116-19-25-31,brown,small,rubber,cube
522,650,142-32-27-29,gray,small,rubber,sphere
522,2707,89-90-47-64,red,large,rubber,cylinder
522,2054,131-63-46-51,yellow,large,rubber,cube
522,1975,176-59-45-47,purple,large,metal,cube
522,421,85-66-21-22,red,small,metal,cube
904,1572,53-34-37-51,yellow,large,rubber,cube
904,431,67-62-22-23,red,small,rubber,sphere
904,2462,132-65-53-59,gray,large,rubber,sphere
904,1193,157-51-47-45,brown,small,rubber,cube
69,1302,69-35-34-39,green,large,rubber,cube
69,546,39-73-26-25,yellow,small,rubber,cube
457,384,101-62-19-22,green,small,metal,cube
457,1838,104-99-46-48,cyan,large,rubber,sphere
457,2142,41-68-44-55,cyan,large,rubber,sphere
457,931,146-27-30-36,green,small,rubber,cube
457,1385,16-52-43-48,cyan,large,rubber,sphere
457,1599,120-60-39-50,purple,large,rubber,cylinder
329,1194,64-42-34-41,red,small,rubber,cylinder
329,749,31-42-30-29,yellow,small,rubber,sphere
329,1263,81-75-39-39,yellow,small,rubber,sphere
329,884,145-35-31-37,gray,small,rubber,cube
329,935,162-53-34-32,green,small,metal,sphere
329,777,116-106-29-33,purple,small,rubber,cube
329,1119,104-25-36-36,brown,small,rubber,cube
329,450,35-71-23-23,green,small,rubber,cube
9,828,54-37-31-37,brown,small,rubber,cube
9,1192,136-34-38-37,blue,small,rubber,cube
9,2106,67-56-49-53,gray,large,rubber,sphere
9,405,32-67-20-21,gray,small,rubber,cube
352,1064,47-33-32-38,green,small,rubber,cube
352,952,131-27-28-36,brown,small,rubber,cube
352,2150,74-64-42-52,green,large,metal,cube
352,2316,125-69-45-56,green,large,metal,sphere
352,1742,5-43-48-46,green,large,rubber,sphere
352,1646,165-54-43-51,red,large,rubber,cube
352,1466,194-45-45-43,purple,large,rubber,cube
923,1368,170-41-36-41,blue,large,rubber,cube
294,1302,64-42-36-42,purple,large,rubber,cube
294,551,77-76-25-25,purple,small,rubber,cube
294,473,86-115-23-24,brown,small,metal,sphere
294,1178,168-35-34-39,yellow,small,rubber,cube
294,349,160-90-20-20,red,small,metal,sphere
294,655,135-96-23-30,brown,small,rubber,cylinder
294,1304,64-42-56-42,purple,large,rubber,cube
806,386,18-57-23-21,red,small,rubber,cube
806,585,99-108-21-30,yellow,small,rubber,cube
806,436,116-90-18-25,green,small,rubber,cube
632,760,169-43-30-30,blue,small,rubber,sphere
632,1200,123-33-35-37,cyan,small,rubber,cube
632,436,158-83-19-25,green,small,rubber,cube
632,612,120-105-22-28,blue,small,rubber,cube
632,2000,78-71-40-54,green,large,rubber,cube
632,714,62-55-33-35,blue,small,rubber,sphere
23,388,43-39-31-18,brown,small,rubber,sphere
23,1378,176-39-36-42,brown,large,rubber,cube
23,1118,124-66-36-37,brown,small,rubber,sphere
23,1563,40-54-39-47,gray,large,rubber,sphere
540,392,24-58-23-21,yellow,small,rubber,cube
540,353,55-52-20-21,blue,small,rubber,cube
540,439,61-81-19-24,red,small,rubber,cube
540,566,132-28-26-26,purple,small,metal,sphere
540,590,162-89-25-25,green,small,rubber,cube
540,2504,108-82-45-61,red,large,rubber,cylinder
540,1103,186-59-37-36,green,small,metal,sphere
540,1409,79-49-34-44,blue,large,rubber,cube
491,556,99-95-21-28,green,small,rubber,cube
491,2168,120-59-43-52,red,large,rubber,cube
332,1710,162-48-40-48,yellow,large,rubber,cylinder
332,1850,10-38-41-60,gray,large,rubber,sphere
110,814,13-47-33-32,cyan,small,rubber,sphere
110,1194,167-40-39-40,purple,small,rubber,cube
110,1351,115-82-41-41,red,large,metal,sphere
110,758,105-20-25-32,purple,small,rubber,cube
110,1329,141-48-35-44,blue,large,rubber,cylinder
110,377,35-72-19-23,purple,small,metal,cube
787,857,79-46-32-33,green,small,rubber,sphere
787,580,121-27-27-27,brown,small,metal,sphere
746,685,140-92-25-28,purple,small,rubber,cube
746,2578,11-55-58-56,blue,large,rubber,sphere
746,858,61-40-33-33,gray,small,metal,sphere
885,985,14-53-35-33,brown,small,rubber,sphere
885,1001,14-53-57-33,gray,small,rubber,sphere
885,372,50-55-21-21,brown,small,rubber,cube
885,1922,161-61-43-51,green,large,rubber,sphere
885,1461,100-79-42-42,green,large,metal,sphere
184,1200,75-39-33-42,cyan,small,rubber,cube
184,2726,93-64-56-61,green,large,rubber,cube
819,377,160-55-21-20,purple,small,rubber,cube
139,918,19-44-35-32,purple,small,metal,sphere
139,384,161-63-19-22,cyan,small,metal,cube
139,1542,50-72-43-43,gray,large,metal,sphere
139,431,30-73-20-24,blue,small,metal,cube
139,1337,19-44-35-53,purple,large,metal,sphere
518,670,92-30-28-28,blue,small,rubber,sphere
518,371,173-52-20-21,purple,small,rubber,cube
518,2286,95-66-44-57,brown,large,rubber,cylinder
518,522,60-69-24-25,purple,small,rubber,cube
549,359,92-47-20-20,green,small,rubber,sphere
549,355,16-57-19-21,blue,small,metal,cube
549,1400,59-67-41-41,yellow,large,rubber,sphere
549,799,101-19-26-33,blue,small,rubber,cube
549,413,118-68-18-23,blue,small,rubber,cube
413,1167,34-32-34-39,gray,small,rubber,cylinder
413,3372,63-83-63-71,purple,large,metal,cube
413,2122,169-61-52-52,red,large,rubber,sphere
601,743,53-38-30-30,yellow,small,metal,sphere
601,486,52-80-21-25,gray,small,rubber,cube
601,691,115-36-29-28,cyan,small,metal,sphere
601,592,150-94-21-27,green,small,rubber,cube
601,2819,84-86-49-65,brown,large,rubber,cylinder
601,322,89-57-19-21,green,small,rubber,cube
888,1198,85-37-32-39,brown,small,rubber,cylinder
888,438,27-60-23-21,yellow,small,rubber,cube
888,644,147-93-24-27,yellow,small,rubber,cube
164,626,88-102-22-30,purple,small,rubber,sphere
164,929,182-47-35-32,green,small,metal,sphere
164,936,161-47-56-33,green,small,rubber,sphere
164,1900,123-59-40-51,cyan,large,rubber,cylinder
943,712,65-29-31-37,green,small,rubber,cube
943,1191,165-32-34-39,red,small,rubber,cylinder
943,481,175-80-21-26,purple,small,rubber,cube
943,3855,78-94-70-65,yellow,large,rubber,cube
943,1495,34-42-46-50,blue,large,rubber,cube
943,1745,59-69-44-57,gray,large,rubber,cylinder
943,674,82-54-35-35,green,small,metal,sphere
157,1420,7-43-39-43,green,large,rubber,cube
157,438,99-77-18-25,green,small,rubber,cube
157,662,122-32-28-29,red,small,rubber,sphere
157,1186,181-41-35-41,cyan,small,rubber,cube
157,782,115-101-30-33,blue,small,rubber,cube
157,365,60-65-18-22,brown,small,rubber,cube
157,2119,148-64-44-55,cyan,large,rubber,cylinder
157,661,150-65-42-18,cyan,small,rubber,cube
129,528,65-31-28-23,red,small,metal,sphere
129,1258,146-38-33-41,red,small,rubber,cylinder
129,608,118-22-33-35,cyan,small,rubber,cube
129,546,146-90-21-27,brown,small,rubber,cube
129,2027,65-50-49-51,blue,large,rubber,cube
426,964,74-31-29-34,yellow,small,rubber,cube
426,578,124-29-26-26,yellow,small,metal,sphere
426,650,118-87-27-29,cyan,small,rubber,cube
426,2238,143-56-53-54,brown,large,rubber,cube
555,1306,69-33-36-39,purple,large,rubber,cube
555,500,91-74-23-25,gray,small,rubber,sphere
555,1495,119-48-36-46,purple,large,rubber,cube
546,1230,169-39-35-40,gray,small,rubber,cylinder
546,957,136-29-30-35,blue,small,rubber,cube
546,484,173-81-21-25,purple,small,rubber,cube
546,3157,79-81-51-70,blue,large,rubber,sphere
546,446,61-67-21-23,red,small,rubber,cube
463,1355,51-30-40-40,yellow,large,rubber,cube
463,1003,133-27-29-36,gray,small,rubber,cylinder
463,1523,125-71-43-43,cyan,large,metal,sphere
220,405,83-79-18-24,brown,small,rubber,cube
